algorithm,text_size,time
Boyer-Moore,1000,0.00010225060032098554
Boyer-Moore,5000,0.0004924098007904832
Boyer-Moore,10000,0.0009580697995261289
Boyer-Moore,50000,0.006002340400300454
Boyer-Moore,100000,0.009831028601183789
Finite Automaton,1000,0.00039858219897723755
Finite Automaton,5000,0.0009948767990863416
Finite Automaton,10000,0.0017305795998254325
Finite Automaton,50000,0.010497026799566812
Finite Automaton,100000,0.015189007799926912
KMP,1000,0.0002148382001905702
KMP,5000,0.0010378307990322356
KMP,10000,0.0020681601999967825
KMP,50000,0.013881316399783827
KMP,100000,0.02234106800024165
Rabin-Karp,1000,0.00046362019929802045
Rabin-Karp,5000,0.0021526983990042938
Rabin-Karp,10000,0.004304615399450995
Rabin-Karp,50000,0.022860171599313618
Rabin-Karp,100000,0.04474109780057915
Suffix Automaton,1000,7.473200821550563e-06
Suffix Automaton,5000,1.0755800030892714e-05
Suffix Automaton,10000,1.4373799785971642e-05
Suffix Automaton,50000,2.364919928368181e-05
Suffix Automaton,100000,2.392860042164102e-05
